route_id,route_location,is_this_route_predominantly,select_the_statement_that,objectid,does_litter_obstruct_the,select_the_statement_that_1,how_many_large_abandoned,how_many_instances_of_graffiti,how_many_instances_of_graffiti_1,how_many_instances_of_graffiti_2,select_the_statement_that_2,how_many_instances_of_feces,how_many_abandoned_syringes,how_many_used_or_opened,how_many_dead_animals_are,does_the_route_have_one_or,are_any_trash_receptacles,is_sidewalk_clearance_less,does_the_sidewalk_have_any,does_the_sidewalk_have_any_1,do_you_detect_any_strong,does_the_route_have_one_or_1,creationdate,analysis_neighborhoods,evaluation_period,does_any_graffiti_include,does_any_graffiti_appear,what_types_of_items_are,does_illegal_dumping_obstruct,how_severe_are_the_pavement,are_there_closed_unlabeled,is_the_pile_of_item_s_more,which_of_the_following_issues,how_many_instances_of_broken,if_yes_identify_the_cause,other_dumped_items,if_yes_is_the_odor_from_a,other_sidewalk_obstructions
15813,Van Ness Ave BETWEEN Greenwich St AND Lombard St,1,4,2457,0,4,0,1,16,0,1,1,0,0,0,1,0,0,0,0,0,0,2022-10-04T16:31:35.000,"15 - Russian Hill, Nob Hill, North Beach",January 2022 - December 2022,0,0,,,,,,,,,,,
15813,VAN NESS AVE BETWEEN GREENWICH ST AND LOMBARD ST,1,2,2457,0,2,0,1,18,0,1,0,0,0,0,1,0,0,0,0,0,0,2024-01-09T22:54:36.000,"15 - Russian Hill, Nob Hill, North Beach",July 2023 - June 2024,0,0,,,,,,,,,,,
636,PACHECO ST BETWEEN 19TH AVE AND 20TH AVE,2,2,1,0,4,1,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,2023-08-17T16:26:51.000,12 - Sunset/Parkside,July 2023 - June 2024,0,0,4,0,1,0,0,,,,,,
9616,GREAT HWY BETWEEN LINCOLN WAY AND IRVING ST,1,2,9,0,2,1,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,2023-08-17T19:43:39.000,12 - Sunset/Parkside,July 2023 - June 2024,0,0,16,0,,0,0,,,,,,
1497,42ND AVE BETWEEN LINCOLN WAY AND IRVING ST,2,2,12,0,3,2,2,1,6,1,0,0,0,0,0,0,0,1,0,0,0,2023-08-17T20:42:13.000,12 - Sunset/Parkside,July 2023 - June 2024,0,0,516,0,1,0,0,,,,,,
603,LINCOLN WAY BETWEEN 35TH AVE AND 36TH AVE,2,2,16,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2023-08-17T21:46:26.000,12 - Sunset/Parkside,July 2023 - June 2024,0,0,165,0,,0,0,,,,,,
1673,BRODERICK ST BETWEEN GOLDEN GATE AVE AND TURK ST,2,2,21,0,2,1,3,3,0,1,0,0,0,0,0,0,0,1,1,0,0,2023-08-18T16:45:17.000,22 - Western Addition,July 2023 - June 2024,0,0,15,0,2,0,0,,,,,,
1220,06TH AVE BETWEEN CALIFORNIA ST AND CORNWALL ST,1,2,33,0,3,1,0,11,4,1,1,0,0,0,0,0,0,0,0,0,0,2023-08-18T21:25:06.000,"13 - Presidio Heights, Lone Mountain/USF, Inner Richmond",July 2023 - June 2024,0,0,5,0,,0,0,,,,,,
1219,06TH AVE BETWEEN CORNWALL ST AND CLEMENT ST,2,2,37,0,2,1,9,20,1,1,0,0,0,0,1,0,0,0,0,0,1,2023-08-18T22:36:46.000,"13 - Presidio Heights, Lone Mountain/USF, Inner Richmond",July 2023 - June 2024,0,0,19,0,,0,0,1,,,,,
4161,ANZA ST BETWEEN 04TH AVE AND 05TH AVE,2,2,38,0,3,2,2,2,0,1,1,0,0,0,0,0,0,1,0,0,0,2023-08-18T22:55:36.000,"13 - Presidio Heights, Lone Mountain/USF, Inner Richmond",July 2023 - June 2024,0,0,417,0,2,0,0,,,,,,
